idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
0,barsenkov_2010,2000-2012,2010,9,3,621,78,2
1,barsenkov_2010,2000-2012,2010,13,3,475,64,6
2,barsenkov_2010,2000-2012,2010,17,4,216,33,3
3,barsenkov_2010,2000-2012,2010,19,1,1187,152,5
4,barsenkov_2010,2000-2012,2010,23,5,408,53,2
5,barsenkov_2010,2000-2012,2010,34,1,665,81,2
6,barsenkov_2010,2000-2012,2010,43,3,543,79,2
7,barsenkov_2010,2000-2012,2010,45,5,127,17,6
8,barsenkov_2010,2000-2012,2010,56,2,322,43,2
9,barsenkov_2010,2000-2012,2010,57,2,529,72,2
10,barsenkov_2010,2000-2012,2010,57,4,639,87,2
11,barsenkov_2010,2000-2012,2010,58,5,292,36,2
12,barsenkov_2010,2000-2012,2010,62,2,632,84,2
13,barsenkov_2010,2000-2012,2010,71,2,566,77,2
14,barsenkov_2010,2000-2012,2010,74,0,975,121,2
15,barsenkov_2010,2000-2012,2010,77,0,668,89,2
16,barsenkov_2010,2000-2012,2010,78,0,1161,163,2
17,barsenkov_2010,2000-2012,2010,79,1,875,120,2
18,barsenkov_2010,2000-2012,2010,80,5,279,40,2
19,barsenkov_2010,2000-2012,2010,81,0,808,111,2
20,barsenkov_2010,2000-2012,2010,85,2,522,72,2
21,barsenkov_2010,2000-2012,2010,86,1,483,68,2
22,barsenkov_2010,2000-2012,2010,87,0,521,73,2
23,barsenkov_2010,2000-2012,2010,87,3,662,95,5
24,barsenkov_2010,2000-2012,2010,87,4,404,59,4
25,barsenkov_2010,2000-2012,2010,88,0,742,94,2
26,barsenkov_2010,2000-2012,2010,92,2,1024,135,2
27,barsenkov_2010,2000-2012,2010,94,1,894,137,4
28,barsenkov_2010,2000-2012,2010,95,3,792,106,4
29,barsenkov_2010,2000-2012,2010,96,0,422,54,3
30,barsenkov_2010,2000-2012,2010,96,5,309,47,4
31,barsenkov_2010,2000-2012,2010,97,0,931,129,4
32,barsenkov_2010,2000-2012,2010,101,0,794,108,4
33,barsenkov_2010,2000-2012,2010,101,1,599,90,2
34,barsenkov_2010,2000-2012,2010,105,3,856,119,2
35,barsenkov_2010,2000-2012,2010,110,2,226,31,2
36,barsenkov_2010,2000-2012,2010,115,0,563,76,2
37,barsenkov_2010,2000-2012,2010,115,2,652,88,2
38,barsenkov_2010,2000-2012,2010,121,0,639,79,2
39,barsenkov_2010,2000-2012,2010,140,1,827,118,6
40,barsenkov_2010,2000-2012,2010,140,2,981,128,3
41,barsenkov_2010,2000-2012,2010,141,1,602,88,3
42,barsenkov_2010,2000-2012,2010,141,4,777,105,3
43,barsenkov_2010,2000-2012,2010,141,5,850,125,8
44,barsenkov_2010,2000-2012,2010,142,2,1496,206,6
45,barsenkov_2010,2000-2012,2010,142,3,1025,137,3
46,barsenkov_2010,2000-2012,2010,143,0,813,108,3
47,barsenkov_2010,2000-2012,2010,143,1,915,127,9
48,barsenkov_2010,2000-2012,2010,143,2,543,79,3
49,barsenkov_2010,2000-2012,2010,144,1,255,40,3
50,barsenkov_2010,2000-2012,2010,144,2,511,72,3
51,barsenkov_2010,2000-2012,2010,144,4,541,79,3
52,barsenkov_2010,2000-2012,2010,144,5,145,20,3
53,barsenkov_2010,2000-2012,2010,145,3,1084,140,3
54,barsenkov_2010,2000-2012,2010,146,2,1066,137,6
55,barsenkov_2010,2000-2012,2010,147,1,1204,159,6
56,barsenkov_2010,2000-2012,2010,147,2,583,75,6
57,barsenkov_2010,2000-2012,2010,148,0,991,131,18
58,barsenkov_2010,2000-2012,2010,148,1,474,63,4
59,barsenkov_2010,2000-2012,2010,150,0,937,130,2
60,barsenkov_2010,2000-2012,2010,150,1,707,98,3
61,barsenkov_2010,2000-2012,2010,151,0,1350,177,2
62,barsenkov_2010,2000-2012,2010,151,1,748,97,8
63,barsenkov_2010,2000-2012,2010,155,3,712,92,3
64,barsenkov_2010,2000-2012,2010,156,1,500,65,5
65,barsenkov_2010,2000-2012,2010,156,3,628,84,4
66,barsenkov_2010,2000-2012,2010,156,4,539,74,10
67,barsenkov_2010,2000-2012,2010,157,0,574,82,2
68,barsenkov_2010,2000-2012,2010,157,2,836,121,7
69,barsenkov_2010,2000-2012,2010,157,3,533,76,12
70,barsenkov_2010,2000-2012,2010,158,3,485,69,3
71,barsenkov_2010,2000-2012,2010,159,0,794,109,6
72,barsenkov_2010,2000-2012,2010,159,1,411,62,3
73,barsenkov_2010,2000-2012,2010,159,5,425,60,5
74,barsenkov_2010,2000-2012,2010,160,1,766,101,7
75,barsenkov_2010,2000-2012,2010,160,2,1008,145,11
76,barsenkov_2010,2000-2012,2010,161,2,629,91,6
77,barsenkov_2010,2000-2012,2010,161,3,515,69,3
78,barsenkov_2010,2000-2012,2010,162,3,461,66,9
79,barsenkov_2010,2000-2012,2010,162,4,234,31,4
80,barsenkov_2010,2000-2012,2010,163,0,546,71,2
81,barsenkov_2010,2000-2012,2010,163,1,668,105,2
82,barsenkov_2010,2000-2012,2010,163,2,574,73,5
