idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
0,glazunova_2020,2012-2023,2020,10,0,890,107,4
1,glazunova_2020,2012-2023,2020,16,0,153,19,2
2,glazunova_2020,2012-2023,2020,21,0,369,49,2
3,glazunova_2020,2012-2023,2020,24,0,536,76,2
4,glazunova_2020,2012-2023,2020,26,0,530,85,2
5,glazunova_2020,2012-2023,2020,28,4,639,79,2
6,glazunova_2020,2012-2023,2020,37,4,275,37,4
7,glazunova_2020,2012-2023,2020,47,0,877,107,3
8,glazunova_2020,2012-2023,2020,47,1,886,117,2
9,glazunova_2020,2012-2023,2020,48,3,257,32,2
10,glazunova_2020,2012-2023,2020,49,0,418,55,2
11,glazunova_2020,2012-2023,2020,59,1,467,68,2
12,glazunova_2020,2012-2023,2020,79,0,1228,159,2
13,glazunova_2020,2012-2023,2020,81,0,814,104,2
14,glazunova_2020,2012-2023,2020,87,3,282,38,2
15,glazunova_2020,2012-2023,2020,88,0,257,31,3
16,glazunova_2020,2012-2023,2020,90,0,260,28,2
17,glazunova_2020,2012-2023,2020,93,0,873,101,2
18,glazunova_2020,2012-2023,2020,97,0,231,33,3
19,glazunova_2020,2012-2023,2020,104,1,897,110,2
20,glazunova_2020,2012-2023,2020,104,2,483,55,2
21,glazunova_2020,2012-2023,2020,105,4,804,96,3
22,glazunova_2020,2012-2023,2020,105,5,337,46,3
23,glazunova_2020,2012-2023,2020,107,0,237,33,8
24,glazunova_2020,2012-2023,2020,107,1,699,77,5
25,glazunova_2020,2012-2023,2020,107,2,839,103,7
26,glazunova_2020,2012-2023,2020,107,3,506,76,3
27,glazunova_2020,2012-2023,2020,108,1,503,59,3
28,glazunova_2020,2012-2023,2020,108,2,588,72,4
29,glazunova_2020,2012-2023,2020,109,0,512,68,8
30,glazunova_2020,2012-2023,2020,109,1,727,104,11
31,glazunova_2020,2012-2023,2020,109,2,701,85,5
32,glazunova_2020,2012-2023,2020,110,3,222,33,2
33,glazunova_2020,2012-2023,2020,111,0,370,50,7
34,glazunova_2020,2012-2023,2020,111,1,213,32,4
35,glazunova_2020,2012-2023,2020,112,0,349,57,3
36,glazunova_2020,2012-2023,2020,113,0,362,49,5
37,glazunova_2020,2012-2023,2020,114,0,388,52,11
38,glazunova_2020,2012-2023,2020,115,0,304,44,4
39,glazunova_2020,2012-2023,2020,116,0,173,24,4
40,glazunova_2020,2012-2023,2020,116,1,378,59,8
41,glazunova_2020,2012-2023,2020,116,2,310,47,6
42,glazunova_2020,2012-2023,2020,116,3,194,25,4
43,glazunova_2020,2012-2023,2020,116,4,802,109,9
44,glazunova_2020,2012-2023,2020,117,0,639,83,7
45,glazunova_2020,2012-2023,2020,117,1,441,59,4
46,glazunova_2020,2012-2023,2020,117,5,1010,125,6
47,glazunova_2020,2012-2023,2020,117,6,257,29,2
48,glazunova_2020,2012-2023,2020,118,0,255,33,4
49,glazunova_2020,2012-2023,2020,119,1,150,20,5
50,glazunova_2020,2012-2023,2020,124,1,674,102,3
51,glazunova_2020,2012-2023,2020,132,2,502,68,2
52,glazunova_2020,2012-2023,2020,141,2,694,87,11
53,glazunova_2020,2012-2023,2020,144,4,262,34,4
54,glazunova_2020,2012-2023,2020,149,0,374,50,3
55,glazunova_2020,2012-2023,2020,149,1,277,39,7
56,glazunova_2020,2012-2023,2020,149,2,395,59,3
57,glazunova_2020,2012-2023,2020,149,3,411,51,10
58,glazunova_2020,2012-2023,2020,150,0,642,78,3
59,glazunova_2020,2012-2023,2020,150,1,273,43,3
60,glazunova_2020,2012-2023,2020,152,0,361,46,4
61,glazunova_2020,2012-2023,2020,154,0,235,30,2
62,glazunova_2020,2012-2023,2020,155,0,425,56,4
63,glazunova_2020,2012-2023,2020,155,3,247,36,6
64,glazunova_2020,2012-2023,2020,156,0,324,46,4
65,glazunova_2020,2012-2023,2020,157,0,176,27,3
66,glazunova_2020,2012-2023,2020,157,1,264,39,7
67,glazunova_2020,2012-2023,2020,160,1,508,70,5
68,glazunova_2020,2012-2023,2020,160,2,609,75,6
69,glazunova_2020,2012-2023,2020,160,3,579,73,3
70,glazunova_2020,2012-2023,2020,160,4,548,67,3
71,glazunova_2020,2012-2023,2020,167,0,681,80,2
72,glazunova_2020,2012-2023,2020,167,4,461,57,6
73,glazunova_2020,2012-2023,2020,168,0,200,27,3
74,glazunova_2020,2012-2023,2020,168,1,96,15,3
75,glazunova_2020,2012-2023,2020,172,0,1304,153,3
76,glazunova_2020,2012-2023,2020,188,3,551,65,2
77,glazunova_2020,2012-2023,2020,207,1,1009,131,3
78,glazunova_2020,2012-2023,2020,209,0,491,67,2
79,glazunova_2020,2012-2023,2020,209,1,846,106,4
80,glazunova_2020,2012-2023,2020,210,1,393,56,2
81,glazunova_2020,2012-2023,2020,211,0,674,89,2
82,glazunova_2020,2012-2023,2020,211,2,726,96,11
83,glazunova_2020,2012-2023,2020,212,0,512,78,4
84,glazunova_2020,2012-2023,2020,213,1,260,36,3
85,kiselev_2013,2012-2023,2013,1,0,792,108,5
86,kiselev_2013,2012-2023,2013,25,0,917,103,3
87,kiselev_2013,2012-2023,2013,59,0,369,39,2
88,kiselev_2013,2012-2023,2013,66,1,263,42,2
89,kiselev_2013,2012-2023,2013,83,1,142,17,2
90,kiselev_2013,2012-2023,2013,115,0,326,45,2
91,kiselev_2013,2012-2023,2013,233,0,652,91,2
92,kiselev_2013,2012-2023,2013,257,2,238,35,3
93,kiselev_2013,2012-2023,2013,275,0,637,74,2
94,kiselev_2013,2012-2023,2013,285,1,146,21,2
95,kiselev_2013,2012-2023,2013,310,2,719,83,3
96,kiselev_2013,2012-2023,2013,319,0,533,68,2
97,kiselev_2013,2012-2023,2013,350,0,359,58,2
98,kiselev_2013,2012-2023,2013,351,0,158,27,2
99,kiselev_2013,2012-2023,2013,351,1,270,41,2
100,kiselev_2013,2012-2023,2013,352,0,343,42,2
101,kiselev_2013,2012-2023,2013,354,0,216,28,2
102,kiselev_2013,2012-2023,2013,356,0,661,92,2
103,kiselev_2013,2012-2023,2013,368,1,262,34,4
104,kiselev_2013,2012-2023,2013,370,0,581,76,2
105,kiselev_2013,2012-2023,2013,372,0,236,31,2
106,kiselev_2013,2012-2023,2013,375,0,284,40,4
107,kiselev_2013,2012-2023,2013,389,0,123,24,4
108,kiselev_2013,2012-2023,2013,389,1,673,82,3
109,kiselev_2013,2012-2023,2013,389,2,604,75,6
110,kiselev_2013,2012-2023,2013,390,0,312,41,3
111,kiselev_2013,2012-2023,2013,396,0,140,23,2
112,kiselev_2013,2012-2023,2013,396,1,579,80,5
113,kiselev_2013,2012-2023,2013,399,0,561,70,14
114,kiselev_2013,2012-2023,2013,434,0,569,68,2
115,kiselev_2013,2012-2023,2013,451,3,138,20,4
116,kiselev_2013,2012-2023,2013,453,0,243,28,5
117,kiselev_2013,2012-2023,2013,454,0,312,43,6
118,kiselev_2013,2012-2023,2013,456,0,345,42,8
119,kiselev_2013,2012-2023,2013,457,0,930,123,2
120,kiselev_2013,2012-2023,2013,467,0,132,24,3
121,kiselev_2013,2012-2023,2013,470,0,296,40,5
122,kiselev_2013,2012-2023,2013,471,0,365,44,4
123,kiselev_2013,2012-2023,2013,472,1,489,63,2
124,kiselev_2013,2012-2023,2013,474,0,385,51,6
125,kiselev_2013,2012-2023,2013,475,1,275,40,4
126,kiselev_2013,2012-2023,2013,476,0,613,84,22
127,kiselev_2013,2012-2023,2013,476,1,387,41,4
128,kiselev_2013,2012-2023,2013,479,0,658,94,7
129,kiselev_2013,2012-2023,2013,480,0,343,45,2
130,kiselev_2013,2012-2023,2013,482,0,633,88,3
131,kiselev_2013,2012-2023,2013,483,0,472,64,8
132,kiselev_2013,2012-2023,2013,486,0,741,93,9
133,kiselev_2013,2012-2023,2013,488,0,538,70,13
134,kiselev_2013,2012-2023,2013,490,1,152,23,4
135,kiselev_2013,2012-2023,2013,491,0,277,48,7
136,kiselev_2013,2012-2023,2013,492,0,157,22,4
137,kiselev_2013,2012-2023,2013,493,0,640,103,7
138,kiselev_2013,2012-2023,2013,493,1,379,55,9
139,kiselev_2013,2012-2023,2013,495,0,157,19,2
140,kiselev_2013,2012-2023,2013,501,0,284,37,2
141,kiselev_2013,2012-2023,2013,508,0,650,82,9
142,kiselev_2013,2012-2023,2013,510,0,358,54,4
143,kiselev_2013,2012-2023,2013,511,0,339,47,5
144,kiselev_2013,2012-2023,2013,512,0,214,28,2
145,kiselev_2013,2012-2023,2013,513,0,219,28,4
146,kiselev_2013,2012-2023,2013,514,0,629,82,7
147,kiselev_2013,2012-2023,2013,515,0,617,88,3
148,kiselev_2013,2012-2023,2013,516,0,362,46,2
149,kiselev_2013,2012-2023,2013,517,0,492,72,9
150,kiselev_2013,2012-2023,2013,519,0,1018,139,5
151,kiselev_2013,2012-2023,2013,520,0,152,20,2
152,kiselev_2013,2012-2023,2013,521,0,812,96,2
153,kiselev_2013,2012-2023,2013,523,0,456,53,2
154,kiselev_2013,2012-2023,2013,524,0,1081,129,9
155,kiselev_2013,2012-2023,2013,525,0,578,63,6
156,kiselev_2013,2012-2023,2013,543,1,200,26,3
157,kiselev_2013,2012-2023,2013,544,0,306,39,6
158,kiselev_2013,2012-2023,2013,545,0,130,20,2
159,kiselev_2013,2012-2023,2013,546,0,398,52,2
160,kiselev_2013,2012-2023,2013,561,0,167,24,4
161,kiselev_2013,2012-2023,2013,562,0,474,60,2
162,kiselev_2013,2012-2023,2013,563,0,422,59,5
163,kiselev_2013,2012-2023,2013,564,0,275,37,4
164,kiselev_2013,2012-2023,2013,565,0,277,37,4
165,kiselev_2013,2012-2023,2013,567,0,346,54,6
166,kiselev_2013,2012-2023,2013,571,0,389,50,3
167,kiselev_2013,2012-2023,2013,585,0,155,24,4
168,kiselev_2013,2012-2023,2013,587,0,364,50,5
169,kiselev_2013,2012-2023,2013,591,0,640,94,2
170,kiselev_2013,2012-2023,2013,594,0,425,67,4
171,kiselev_2013,2012-2023,2013,597,0,655,88,4
172,kiselev_2013,2012-2023,2013,602,0,322,46,5
173,kiselev_2013,2012-2023,2013,620,0,226,30,3
174,kiselev_2013,2012-2023,2013,621,0,1023,138,9
175,kiselev_2013,2012-2023,2013,623,0,1008,142,6
176,kiselev_2013,2012-2023,2013,625,0,446,57,3
177,kiselev_2013,2012-2023,2013,626,0,221,29,3
178,kiselev_2013,2012-2023,2013,631,1,513,73,3
179,kiselev_2013,2012-2023,2013,637,0,792,103,5
180,kiselev_2013,2012-2023,2013,641,0,626,95,2
181,kiselev_2013,2012-2023,2013,653,0,346,51,2
182,kiselev_2013,2012-2023,2013,660,0,554,74,3
183,kiselev_2013,2012-2023,2013,664,0,301,42,3
184,kiselev_2013,2012-2023,2013,672,0,520,67,2
185,kiselev_2013,2012-2023,2013,682,0,890,117,3
186,kiselev_2013,2012-2023,2013,683,0,750,104,6
187,kiselev_2013,2012-2023,2013,685,0,899,115,3
188,kiselev_2013,2012-2023,2013,686,0,522,67,4
189,kiselev_2013,2012-2023,2013,707,2,318,45,3
190,kiselev_2013,2012-2023,2013,710,0,626,76,2
191,kiselev_2013,2012-2023,2013,712,0,579,84,2
192,kiselev_2013,2012-2023,2013,712,1,178,22,2
193,kiselev_2013,2012-2023,2013,713,0,371,49,2
194,kiselev_2013,2012-2023,2013,717,0,887,118,12
195,kiselev_2013,2012-2023,2013,725,2,225,26,5
196,kiselev_2013,2012-2023,2013,747,0,313,45,3
197,kiselev_2013,2012-2023,2013,751,0,350,50,3
198,kiselev_2013,2012-2023,2013,751,1,779,101,3
199,kiselev_2013,2012-2023,2013,752,0,203,35,3
200,kiselev_2013,2012-2023,2013,753,0,378,47,3
201,kiselev_2013,2012-2023,2013,761,0,151,18,2
202,kiselev_2013,2012-2023,2013,764,0,458,63,3
203,kiselev_2013,2012-2023,2013,766,0,149,19,3
204,kiselev_2013,2012-2023,2013,767,0,103,17,3
205,kiselev_2013,2012-2023,2013,847,0,509,67,10
206,kiselev_2013,2012-2023,2013,859,0,263,36,3
207,kiselev_2013,2012-2023,2013,879,0,673,96,4
208,kiselev_2013,2012-2023,2013,880,0,243,34,4
209,kiselev_2013,2012-2023,2013,889,0,258,31,3
210,kiselev_2013,2012-2023,2013,899,0,174,29,6
211,kiselev_2013,2012-2023,2013,899,1,356,50,6
212,kiselev_2013,2012-2023,2013,900,0,470,62,6
213,kiselev_2013,2012-2023,2013,901,0,895,115,15
214,kiselev_2013,2012-2023,2013,904,0,468,56,8
215,kiselev_2013,2012-2023,2013,905,0,446,59,9
216,kiselev_2013,2012-2023,2013,906,0,451,60,18
217,kiselev_2013,2012-2023,2013,907,1,219,29,3
218,kiselev_2013,2012-2023,2013,908,0,710,83,9
219,kiselev_2013,2012-2023,2013,908,1,148,21,3
220,kiselev_2013,2012-2023,2013,910,0,719,90,5
221,kiselev_2013,2012-2023,2013,911,0,500,66,6
222,kiselev_2013,2012-2023,2013,912,0,266,30,5
223,kiselev_2013,2012-2023,2013,913,1,123,23,2
224,kiselev_2013,2012-2023,2013,913,3,253,32,2
225,kiselev_2013,2012-2023,2013,914,0,556,76,7
226,kiselev_2013,2012-2023,2013,915,0,326,51,10
227,kiselev_2013,2012-2023,2013,918,0,434,64,3
228,kiselev_2013,2012-2023,2013,919,0,470,82,4
229,kiselev_2013,2012-2023,2013,920,0,370,50,5
230,kiselev_2013,2012-2023,2013,921,0,714,104,6
231,kiselev_2013,2012-2023,2013,922,0,172,26,5
232,kiselev_2013,2012-2023,2013,922,1,269,38,3
233,kiselev_2013,2012-2023,2013,922,2,242,34,2
234,kiselev_2013,2012-2023,2013,927,0,210,24,3
235,kiselev_2013,2012-2023,2013,928,0,608,85,5
236,kiselev_2013,2012-2023,2013,929,0,335,41,3
237,kiselev_2013,2012-2023,2013,931,0,291,44,5
238,kiselev_2013,2012-2023,2013,933,0,258,40,6
239,kiselev_2013,2012-2023,2013,934,1,500,66,5
240,kiselev_2013,2012-2023,2013,935,0,532,67,4
241,kiselev_2013,2012-2023,2013,946,0,617,79,9
242,kiselev_2013,2012-2023,2013,950,0,213,31,6
243,kiselev_2013,2012-2023,2013,954,0,725,93,3
244,kiselev_2013,2012-2023,2013,956,0,762,98,3
245,kiselev_2013,2012-2023,2013,957,0,696,92,3
246,kiselev_2013,2012-2023,2013,963,0,239,30,3
247,kiselev_2013,2012-2023,2013,964,0,277,37,6
248,kiselev_2013,2012-2023,2013,965,0,373,51,5
249,kiselev_2013,2012-2023,2013,966,0,182,24,3
250,kiselev_2013,2012-2023,2013,967,0,780,105,8
251,kiselev_2013,2012-2023,2013,967,1,180,20,3
252,kiselev_2013,2012-2023,2013,969,0,98,18,3
253,kiselev_2013,2012-2023,2013,971,0,388,44,3
254,kiselev_2013,2012-2023,2013,975,0,422,55,3
255,kiselev_2013,2012-2023,2013,1011,0,391,49,5
256,kiselev_2013,2012-2023,2013,1012,0,590,76,3
257,kiselev_2013,2012-2023,2013,1014,0,414,63,4
258,kiselev_2013,2012-2023,2013,1014,1,220,25,3
259,kiselev_2013,2012-2023,2013,1031,0,141,19,3
260,kiselev_2013,2012-2023,2013,1040,0,133,19,3
261,kiselev_2013,2012-2023,2013,1051,0,78,15,4
262,kiselev_2013,2012-2023,2013,1052,1,414,57,4
263,kiselev_2013,2012-2023,2013,1054,0,187,28,3
264,kiselev_2013,2012-2023,2013,1055,0,148,24,3
265,kiselev_2013,2012-2023,2013,1063,0,544,59,3
266,kiselev_2013,2012-2023,2013,1066,0,378,40,2
267,kiselev_2013,2012-2023,2013,1068,0,476,61,5
268,kiselev_2013,2012-2023,2013,1069,0,277,40,5
269,kiselev_2013,2012-2023,2013,1071,1,641,86,3
270,kiselev_2013,2012-2023,2013,1122,0,922,119,4
271,kiselev_2013,2012-2023,2013,1150,0,256,35,6
272,kiselev_2013,2012-2023,2013,1156,0,649,81,3
273,kiselev_2013,2012-2023,2013,1158,0,821,101,5
274,kiselev_2013,2012-2023,2013,1159,0,714,84,2
275,kiselev_2013,2012-2023,2013,1160,3,153,23,2
276,kiselev_2013,2012-2023,2013,1187,0,856,118,2
277,kiselev_2013,2012-2023,2013,1192,0,454,54,3
278,kiselev_2013,2012-2023,2013,1225,0,249,34,3
279,kiselev_2013,2012-2023,2013,1227,0,260,39,5
280,kiselev_2013,2012-2023,2013,1227,1,171,22,3
281,kiselev_2013,2012-2023,2013,1262,0,630,78,3
282,kiselev_2013,2012-2023,2013,1289,0,794,95,5
283,kiselev_2013,2012-2023,2013,1436,0,367,47,5
284,kiselev_2013,2012-2023,2013,1535,0,212,32,3
285,kiselev_2013,2012-2023,2013,1537,0,195,21,4
286,kiselev_2013,2012-2023,2013,1540,0,173,20,2
287,kiselev_2013,2012-2023,2013,1547,0,268,34,2
288,kiselev_2013,2012-2023,2013,1662,0,156,21,2
289,medinskiy_2023,2012-2023,2023,123,0,187,22,3
290,medinskiy_2023,2012-2023,2023,194,0,191,26,3
291,medinskiy_2023,2012-2023,2023,219,0,139,19,7
292,medinskiy_2023,2012-2023,2023,229,0,201,25,3
293,medinskiy_2023,2012-2023,2023,239,0,122,18,3
294,medinskiy_2023,2012-2023,2023,240,0,119,17,3
295,medinskiy_2023,2012-2023,2023,241,0,174,25,3
296,medinskiy_2023,2012-2023,2023,247,0,177,25,4
297,medinskiy_2023,2012-2023,2023,255,0,147,21,4
298,medinskiy_2023,2012-2023,2023,263,0,126,19,3
299,medinskiy_2023,2012-2023,2023,273,0,239,34,2
300,medinskiy_2023,2012-2023,2023,288,0,83,15,2
301,medinskiy_2023,2012-2023,2023,304,0,255,38,4
302,medinskiy_2023,2012-2023,2023,310,0,138,19,3
303,medinskiy_2023,2012-2023,2023,313,0,139,21,4
304,medinskiy_2023,2012-2023,2023,330,0,143,20,3
305,medinskiy_2023,2012-2023,2023,402,0,168,24,3
306,medinskiy_2023,2012-2023,2023,445,0,129,17,3
307,medinskiy_2023,2012-2023,2023,470,0,167,22,3
308,medinskiy_2023,2012-2023,2023,511,0,113,15,3
309,medinskiy_2023,2012-2023,2023,634,0,120,18,2
310,medinskiy_2023,2012-2023,2023,662,0,176,25,3
311,medinskiy_2023,2012-2023,2023,664,0,114,15,3
312,medinskiy_2023,2012-2023,2023,694,0,97,15,4
313,medinskiy_2023,2012-2023,2023,741,0,169,24,6
314,medinskiy_2023,2012-2023,2023,744,0,119,21,7
315,medinskiy_2023,2012-2023,2023,764,0,113,18,4
316,medinskiy_2023,2012-2023,2023,769,0,120,17,3
317,medinskiy_2023,2012-2023,2023,779,0,184,26,5
318,medinskiy_2023,2012-2023,2023,794,0,117,18,3
319,medinskiy_2023,2012-2023,2023,804,0,106,15,3
320,medinskiy_2023,2012-2023,2023,808,0,176,23,3
